,GIC,NWN,NEN,WNA,CNA,ENA,NCA,SCA,CAR,NWS,NSA,NES,SAM,SWS,SES,SSA,NEU,WCE,EEU,MED,SAH,WAF,CAF,NEAF,SEAF,WSAF,ESAF,MDG,RAR,WSB,ESB,RFE,WCA,ECA,TIB,EAS,ARP,SAS,SEA,NAU,CAU,EAU,SAU,NZ,EAN,WAN
0,0.9827984,1.0898328,0.78189486,2.1040566,0.955963,1.6647657,-0.41780102,-0.7264395,0.028322488,1.8325982,0.5142203,5.658471,7.017465,1.1620699,2.057053,1.4219021,1.6346521,1.7339065,1.1247791,1.0349928,-0.0066347807,-1.8301795,0.6433987,-0.80461615,1.6650623,2.4512568,3.810314,3.8532023,0.4376158,0.7038742,0.36337027,0.64681554,0.6349532,0.1025108,0.27321768,0.14624497,-0.20982116,-0.7172846,3.9200497,5.23794,0.7631206,0.86796504,-0.086834624,2.3767374,0.19490287,0.6204345
1,0.9949648,1.0889057,0.79497164,2.1132944,0.9782094,1.6785367,-0.38002935,-0.7641493,0.04875821,1.7858618,0.5473398,5.500432,7.086349,1.1833955,2.1932738,1.4250684,1.6413906,1.7566681,1.1561917,1.0399909,-0.007115193,-1.799873,0.5517895,-0.78888863,1.6847355,2.4682534,3.8767774,3.9690895,0.43692216,0.6910054,0.36133185,0.6586701,0.6814877,0.11096442,0.27104017,0.17697093,-0.21217012,-0.7557221,3.9272857,5.272368,0.64864665,0.8090797,-0.14165829,2.4277673,0.19205052,0.6124497
2,0.98672223,1.0929141,0.7679822,2.0458777,0.93148667,1.6070789,-0.3490414,-0.7182078,0.047368854,1.5738845,0.37112507,6.025991,7.0357275,1.1461991,2.068765,1.4254907,1.6111467,1.6712056,1.0747744,1.0956615,-0.0051069465,-1.7802216,0.7187094,-0.7861603,1.6410428,2.5794873,3.795838,3.584922,0.4254739,0.6726417,0.352288,0.6422606,0.7446371,0.11702645,0.28790426,0.18934365,-0.2089876,-0.7210963,3.8939683,5.211969,0.6282149,0.79790753,-0.11179995,2.2782664,0.19439422,0.62559515
3,0.968708,1.0841149,0.74739337,2.0858867,0.9475721,1.6748317,-0.41522074,-0.7344824,0.03307724,1.835039,0.52149314,5.7776847,6.9182644,1.2266623,2.0116684,1.421514,1.6567235,1.7661811,1.1219397,1.0075804,-0.009195598,-1.8547746,0.4902875,-0.83226466,1.685292,2.5126233,3.7911482,4.0530605,0.4176281,0.6822905,0.35426497,0.6147029,0.6386567,0.10329103,0.2421366,0.17525251,-0.2122028,-0.72933173,3.8204618,5.04561,0.60977495,0.8153905,-0.11003278,2.4618115,0.19497554,0.64212143
4,0.9927866,1.1149794,0.77146083,2.08063,0.934413,1.5999258,-0.3626925,-0.7460046,0.0498015,1.6984156,0.42050052,5.9523206,6.875432,1.1402874,2.0768843,1.4462698,1.6429436,1.6994308,1.0925478,1.036,-0.006231558,-1.8023009,0.6265333,-0.8213429,1.7245548,2.512911,3.9022486,3.8742886,0.4400991,0.6789898,0.35818273,0.6510276,0.6814708,0.11585108,0.2742382,0.1877031,-0.21033704,-0.73478603,3.8840039,5.2143674,0.6114205,0.77056223,-0.11327906,2.2369027,0.19494037,0.6043382
5,1.0174711,1.0950844,0.7807005,2.0557864,0.91658676,1.5930696,-0.36281577,-0.7006928,0.025974661,1.6227747,0.47926804,5.9947195,7.0717683,1.2391665,2.0369642,1.4348215,1.6364176,1.6642071,1.0892657,1.0390174,-0.0062242867,-1.7655944,0.6560572,-0.80222416,1.5894815,2.451499,3.9234576,3.9561021,0.43307057,0.6717227,0.35592946,0.63075024,0.73341674,0.11219267,0.33482403,0.1809127,-0.21053258,-0.7400632,3.8325837,5.160802,0.73572284,0.7794736,-0.11531332,2.333257,0.19279066,0.6248593
6,0.96822816,1.0854931,0.7661999,2.1379,0.9604231,1.6210788,-0.38299906,-0.7394615,0.033794288,1.5525012,0.38156608,6.140147,7.0242543,1.2610576,2.0638328,1.4750911,1.6656833,1.6601834,1.0985954,1.0068675,-0.007831998,-1.830497,0.55565095,-0.83206534,1.6487674,2.566414,3.763024,3.8466337,0.43676388,0.6863759,0.35708496,0.632627,0.68117416,0.11224868,0.24738072,0.17690024,-0.20863882,-0.72804755,3.896279,5.0191193,0.7634495,0.74195784,-0.090949394,2.268553,0.19919541,0.61933744
7,0.9577267,1.0759462,0.769892,2.1293068,0.9788507,1.649319,-0.39945287,-0.78525364,0.02555418,1.5990089,0.44772848,6.046337,7.018884,1.2555356,2.0331235,1.4371752,1.6156358,1.6199416,1.0789163,1.0573409,-0.004856033,-1.8434271,0.56279516,-0.77436996,1.6723013,2.5619123,3.8569298,4.0110674,0.4213137,0.7029902,0.3606737,0.624062,0.66693455,0.10712144,0.2233524,0.1579915,-0.20617789,-0.763556,3.778903,5.4873543,0.7779734,0.8805762,-0.116135575,2.4028747,0.19286855,0.6199797
8,1.0016271,1.0730084,0.76193315,2.1129925,0.9742675,1.6520975,-0.40924627,-0.7474872,0.024815649,1.6912895,0.48470563,5.9214954,7.044745,1.1902704,2.0587184,1.3871071,1.6190987,1.745453,1.1262776,1.0563736,-0.0072680805,-1.8487875,0.54403967,-0.8339636,1.604981,2.4440222,3.75255,4.1850543,0.43024868,0.6811674,0.3599552,0.63384956,0.67056704,0.10710262,0.27740416,0.18423243,-0.21204214,-0.7173425,3.7481806,5.229485,0.70374835,0.77504265,-0.12215095,2.3242588,0.19601479,0.6291501
9,0.9591929,1.0571517,0.75640416,2.108202,0.97603214,1.7352266,-0.3832336,-0.7334816,0.027885914,1.8103006,0.45710573,5.7116895,6.8389244,1.2190768,2.1458764,1.4067692,1.6328878,1.6791247,1.0800261,1.0354097,-0.0075743645,-1.8264484,0.4994305,-0.81458026,1.7022517,2.4250908,3.970593,3.9751103,0.42486367,0.6834344,0.35328096,0.64249647,0.6532357,0.10630276,0.2559712,0.1723366,-0.21316265,-0.74060124,3.8812935,5.3414745,0.72934866,0.96703815,-0.09378866,2.3213286,0.19442688,0.6277515
10,0.9794911,1.0738999,0.7489883,2.118672,0.96110564,1.618674,-0.438379,-0.83967566,0.049165398,1.6952025,0.45773205,5.8565593,6.942601,1.2488266,2.1197126,1.4285887,1.6537929,1.684775,1.1114755,1.0203527,-0.007990801,-1.8603674,0.43340546,-0.8516638,1.6929169,2.4956331,3.8560867,3.9941704,0.4217973,0.7069627,0.36060825,0.6512906,0.6175159,0.10170838,0.21344188,0.12373186,-0.21437907,-0.7483128,3.8155472,5.345173,0.69684404,0.78486544,-0.09315059,2.2687535,0.19129105,0.61582226
11,0.9414559,1.0792924,0.76475513,2.126136,0.9844399,1.7167383,-0.42502564,-0.81422037,0.021012068,1.7106838,0.4136192,5.9036193,6.824251,1.2050896,1.9713974,1.390764,1.6397086,1.6580466,1.0935875,0.9770198,-0.007574148,-1.8775038,0.43359262,-0.8615303,1.6424981,2.5229104,3.8065434,3.8967974,0.43193096,0.68115103,0.3497084,0.6487295,0.6454179,0.10171994,0.24692823,0.17911552,-0.21237482,-0.73641527,3.8387783,5.206022,0.694776,0.7806381,-0.108914986,2.3828824,0.19168283,0.623594
12,0.9552943,1.0975758,0.7494926,2.0952551,0.9740675,1.6532645,-0.4176083,-0.7755714,0.010696977,1.715313,0.48580456,5.758861,7.07064,1.263183,2.0972455,1.4006155,1.6899878,1.6869549,1.1273954,0.96033233,-0.006888552,-1.9033399,0.49342877,-0.8487143,1.7152139,2.496196,3.7714908,4.220989,0.42363134,0.69384974,0.35286343,0.64023244,0.63768345,0.09910155,0.25708762,0.18151544,-0.21643926,-0.7361679,3.8700376,4.9041004,0.6538283,0.8216042,-0.12030254,2.3467793,0.19698882,0.6074846
13,0.9528264,1.0667499,0.7740112,2.1475015,0.97162414,1.7191237,-0.39315692,-0.77977455,0.04642552,1.5928973,0.5145154,5.846733,6.987079,1.2667038,2.103284,1.3907495,1.7254381,1.7120293,1.099113,0.9578866,-0.008760661,-1.9502684,0.4686419,-0.85182595,1.6000825,2.5523524,3.7557714,4.1759257,0.4284011,0.6817836,0.3566777,0.6364799,0.6432174,0.101173855,0.24942939,0.17234932,-0.21486361,-0.7443566,3.72509,5.1524844,0.6738839,0.7108573,-0.107362255,2.321207,0.19541822,0.6199078
14,0.95706326,1.0836772,0.75798064,2.0398533,0.95580244,1.6114306,-0.3909813,-0.79286116,-0.033789724,1.6456282,0.45230964,5.729715,6.9850717,1.2911634,2.0940266,1.4113519,1.6761547,1.7074951,1.1279241,0.99470556,-0.009856054,-1.9816387,0.43509057,-0.87475467,1.6319679,2.4703653,3.798778,4.35931,0.43088797,0.6833314,0.3483243,0.6526909,0.60919774,0.10137131,0.22218123,0.16472325,-0.20718925,-0.727011,3.7555456,5.4383974,0.64391625,0.9292682,-0.11228467,2.3271658,0.1926442,0.6236412
15,0.96656346,1.0446686,0.7915071,2.222926,0.9719818,1.6865728,-0.4589263,-0.7864117,0.030894727,1.7332212,0.5051578,5.870316,6.9915233,1.2106705,2.0179212,1.4152365,1.627552,1.6796244,1.1329632,1.0307206,-0.007764704,-1.895831,0.37207812,-0.89319015,1.5852376,2.3732564,3.8292775,4.0637074,0.43039492,0.70543957,0.35960206,0.64182895,0.61686933,0.1022974,0.1834311,0.120121025,-0.21129881,-0.7354519,3.774907,5.497646,0.6897511,0.9249239,-0.11870633,2.301976,0.19046901,0.60666364
16,0.9820399,1.0704529,0.7630476,2.1299715,0.97207165,1.6848725,-0.3891853,-0.762045,0.04935029,1.6724072,0.39945537,5.962807,6.978242,1.2192218,2.0311403,1.3847834,1.6523459,1.6942488,1.084381,1.0294883,-0.0070940373,-1.9171221,0.38790694,-0.8654181,1.622344,2.4695776,3.837796,4.3884373,0.41722596,0.6836519,0.34861314,0.61977684,0.6350298,0.100721024,0.22508836,0.15350088,-0.21254556,-0.7306606,3.7492502,5.2165833,0.68015033,0.7873192,-0.09118131,2.2163205,0.19391368,0.6168581
17,0.92657936,1.07327,0.7576,2.1290548,0.98133224,1.7168815,-0.40539986,-0.74584883,0.042568535,1.6334634,0.38016126,5.8943405,6.9136515,1.1905198,2.1351452,1.3784862,1.6663321,1.6891898,1.1005176,1.041346,-0.0057116426,-1.898333,0.36893958,-0.8732655,1.6355653,2.4743032,3.801711,4.2376313,0.43362424,0.69400764,0.35607645,0.6329731,0.6185322,0.1011165,0.20194818,0.16452871,-0.2104385,-0.7370917,3.774217,5.1763163,0.62969327,0.81910014,-0.115571536,2.2641997,0.19793856,0.64765674
18,0.97929984,1.0413591,0.7419523,2.2008057,0.9912375,1.6901704,-0.4283168,-0.81054705,0.05305198,1.751324,0.51206976,5.714141,6.996111,1.2439985,1.9907072,1.3836105,1.627156,1.6380773,1.0906363,1.0212628,-0.0064284927,-1.9631783,0.29649442,-0.88018596,1.6980723,2.4657013,3.7763257,4.219255,0.42053154,0.6822847,0.34974313,0.63963026,0.61782044,0.09915035,0.2053856,0.1647123,-0.21373063,-0.7467327,3.8824866,5.040458,0.5950654,0.7950634,-0.099202186,2.2710478,0.1927541,0.6263865
19,0.99012303,1.067829,0.7626231,2.1548858,0.9452237,1.7205355,-0.43273294,-0.7922745,0.05910054,1.6184695,0.46060672,5.831543,6.9411006,1.261837,1.9939706,1.4533535,1.6080253,1.6789074,1.1161937,1.0403773,-0.008139088,-1.9621718,0.49151972,-0.87111396,1.6684562,2.5127347,3.8046484,3.931339,0.42109904,0.6921894,0.3479983,0.6854782,0.638635,0.10897562,0.23031858,0.16813487,-0.21033731,-0.7324097,3.7869587,5.1241355,0.57417846,0.87058616,-0.11777007,2.3488522,0.18853897,0.6156656
20,0.96712005,1.0519551,0.7614052,2.1469684,0.97678447,1.6841947,-0.40827638,-0.849106,0.028629303,1.7049143,0.46770188,5.8395457,6.862959,1.1995273,2.0590918,1.3949783,1.6215671,1.6512835,1.1095614,0.986606,-0.009496927,-2.005195,0.31588194,-0.9130177,1.7069159,2.4566405,3.726373,4.2182903,0.41725183,0.6792275,0.3529813,0.631163,0.5973814,0.09857291,0.18695997,0.14491382,-0.21346012,-0.7532896,3.788547,5.0054145,0.5984271,0.77150023,-0.1173131,2.4571168,0.191878,0.63598096
21,0.97385144,1.0693076,0.753098,2.1248336,0.9199586,1.6282785,-0.39018974,-0.87885475,0.05468154,1.7497672,0.505894,5.588669,6.9804482,1.3133423,2.0836236,1.4002217,1.6442233,1.6928242,1.0891899,1.0249778,-0.010869533,-2.0328012,0.26055765,-0.8723474,1.6607987,2.4863183,3.8757763,4.059268,0.415728,0.69265324,0.35098487,0.626756,0.5896245,0.09742107,0.18117508,0.143635,-0.210901,-0.7740256,3.72222,5.3563023,0.7217824,0.80931365,-0.08133095,2.3400943,0.19529934,0.6232597
22,0.9584374,1.0528979,0.74680066,2.1577706,1.0002925,1.7068809,-0.412227,-0.83648205,-0.001596421,1.746622,0.48633504,5.84112,6.9009967,1.2663943,1.9985224,1.4366988,1.632968,1.7022927,1.1133832,1.0102901,-0.010368696,-2.056335,0.2097051,-0.8883769,1.7136706,2.4717941,3.730126,4.4245043,0.41097292,0.68002105,0.3411067,0.6171501,0.58763105,0.09909612,0.18177283,0.15654734,-0.21587671,-0.76405776,3.6565797,5.144633,0.6231861,0.72016174,-0.12196738,2.2802558,0.19074352,0.617914
23,0.9784654,1.0674672,0.7504314,2.173056,0.96594805,1.7022318,-0.40333852,-0.7874741,0.02762106,1.7897526,0.5349384,5.6974363,6.9462886,1.2120318,2.012206,1.3773011,1.6848462,1.7131528,1.1320654,0.9686956,-0.009397953,-2.0292735,0.23997918,-0.9117097,1.705905,2.3999314,3.7353644,4.081702,0.42253572,0.6977685,0.35543758,0.6288062,0.5732518,0.09636425,0.14382331,0.1312899,-0.21682821,-0.786053,3.7737644,5.3891425,0.6069503,0.76237047,-0.1160396,2.3404226,0.19404267,0.6324167
24,0.96218365,1.0581185,0.76036996,2.1609912,0.9300072,1.7387316,-0.40629628,-0.8208313,0.0055575073,1.7733757,0.52205926,5.726067,6.857931,1.2378329,1.9201335,1.3806753,1.6225294,1.6950506,1.0731311,1.0469918,-0.009149805,-2.0106847,0.29691693,-0.8890445,1.6853354,2.49641,3.7434676,3.9963467,0.4144151,0.6696415,0.3502239,0.64577615,0.64240736,0.10702171,0.23778746,0.19427082,-0.21535878,-0.7656724,3.7779167,5.0479646,0.56798124,0.80117667,-0.12839532,2.257304,0.19660512,0.62809247
25,0.9490696,1.0832691,0.75533646,2.1108177,0.9820274,1.6583284,-0.43216246,-0.83772343,0.035226017,1.7219554,0.4200211,5.703348,6.9026723,1.2639784,1.9946654,1.4156835,1.6541998,1.7236937,1.1040027,1.0209479,-0.010451507,-2.0542538,0.27981266,-0.89262426,1.6775144,2.4439497,3.6998036,3.8428676,0.42296925,0.6896482,0.35365328,0.6223241,0.56060565,0.09713949,0.17449564,0.13542317,-0.21126203,-0.7465662,3.640918,5.203323,0.6906616,0.7181328,-0.08652505,2.4478693,0.19571215,0.6289746
26,0.94015217,1.0580932,0.7644247,2.0998635,0.9195353,1.6913861,-0.45340145,-0.8750153,0.044267386,1.8378009,0.5614709,5.543874,6.9216456,1.2864472,1.8898783,1.4069452,1.6354532,1.7282364,1.1413492,0.98359454,-0.011461948,-2.0887442,0.22610155,-0.8895815,1.6195624,2.4419866,3.64794,4.042636,0.4216428,0.7023662,0.3493858,0.6142709,0.5903956,0.09602715,0.17451309,0.11464197,-0.21053238,-0.7474084,3.6703815,5.269946,0.63919204,0.78709066,-0.08593775,2.2433841,0.19570719,0.61896384
27,0.95494,1.0705476,0.76419365,2.1700134,0.92421913,1.6890283,-0.42241785,-0.7996315,0.020667315,1.6588098,0.40407997,5.945156,6.8828626,1.2674397,1.936092,1.4403114,1.7072237,1.6568006,1.1174861,0.9467861,-0.009673926,-2.1016796,0.2367933,-0.9093993,1.6638924,2.542208,3.800175,3.9197643,0.42092508,0.7127705,0.3574578,0.61087704,0.5965651,0.09943567,0.16924952,0.15873034,-0.2148705,-0.7615971,3.607781,5.105195,0.62454224,0.6143912,-0.11369917,2.2357101,0.19245972,0.6083715
28,0.9429858,1.0427344,0.74307317,2.156374,0.8976972,1.6606313,-0.44033158,-0.86520016,0.02420935,1.7013359,0.5435952,5.729057,6.821337,1.2459042,2.014686,1.3935724,1.6346499,1.7396826,1.1222025,1.0666405,-0.011141254,-2.1258512,0.15559548,-0.88678044,1.7032956,2.4041407,3.6975079,4.1070476,0.41844273,0.6936188,0.35824952,0.6472233,0.58767956,0.09302238,0.16871059,0.118636034,-0.21509373,-0.7652855,3.6309965,5.140308,0.64551264,0.70013756,-0.119767025,2.3449106,0.19487987,0.62557745
29,0.9444846,1.0715812,0.74744356,2.104507,0.92934495,1.5979095,-0.41281274,-0.8574287,0.038686097,1.6686754,0.50801337,5.654081,6.8329234,1.2389787,2.0132601,1.3887839,1.6977725,1.6806916,1.0898751,0.9963714,-0.012221972,-2.1187468,0.21336932,-0.9064348,1.5878565,2.576279,3.6381347,3.7796257,0.4156927,0.69534737,0.35216302,0.5903535,0.5905879,0.10057699,0.17373763,0.13989851,-0.21208483,-0.7685411,3.7037792,4.966574,0.60821635,0.7356806,-0.08523523,2.176422,0.19007301,0.62242365
30,0.9229835,1.0505602,0.73878443,2.179665,0.97293764,1.6427625,-0.3891373,-0.8873305,0.03764519,1.8522325,0.5802335,5.7139006,6.7416677,1.2344055,1.8566368,1.3968998,1.6627616,1.6830618,1.1205931,1.0006866,-0.014643951,-2.1150622,0.15114334,-0.9274557,1.5766509,2.4599402,3.6014144,4.140809,0.4186897,0.68407655,0.34309283,0.6412008,0.5610105,0.092801414,0.14212349,0.11840551,-0.21642016,-0.7687722,3.7559795,5.110713,0.5838433,0.6559849,-0.118287,2.1236622,0.19782022,0.6353091
31,0.93547696,1.0593287,0.74504596,2.1505551,0.9302787,1.6942669,-0.4554748,-0.8114432,0.050689608,1.6349748,0.42664596,5.8718724,6.763298,1.2427906,1.9532204,1.4373497,1.6280836,1.6627971,1.0944388,0.96930945,-0.008462641,-2.1035664,0.12651604,-0.9021338,1.6092873,2.4864936,3.7149305,4.0578036,0.40452275,0.6641066,0.3362382,0.597982,0.5888318,0.09732889,0.15305458,0.12786007,-0.21510206,-0.7981877,3.6252975,5.4891734,0.67206115,0.78510433,-0.105857134,2.1080303,0.19755608,0.60501915
32,0.9205008,1.0577543,0.7622638,2.1976652,0.9779173,1.6657287,-0.382847,-0.8090161,0.023573995,1.7322295,0.5423514,5.7393565,6.806959,1.2866918,1.8387353,1.4075373,1.6694221,1.7153709,1.1406986,1.050924,-0.010743554,-2.0910425,0.16240391,-0.92010397,1.6389647,2.4915023,3.6337535,4.07205,0.42670518,0.70500064,0.34766224,0.6553338,0.5868856,0.09737781,0.16080104,0.14027072,-0.2111283,-0.7556307,3.683213,5.114955,0.5934714,0.6371647,-0.0907584,2.3746154,0.18838412,0.6201823
33,0.9425555,1.0518867,0.7656418,2.152248,0.9860208,1.7328494,-0.41875473,-0.86466473,0.03584698,1.7738346,0.5848005,5.498372,6.7419853,1.2748693,1.9425894,1.4495445,1.6814698,1.7249235,1.1183653,0.98317516,-0.009632839,-2.1410522,0.09029066,-0.88032526,1.6514167,2.4233367,3.6452708,4.218349,0.41397998,0.7002605,0.34960935,0.66631573,0.5732278,0.09651982,0.15690182,0.13771538,-0.21768917,-0.7894516,3.6465266,5.114621,0.6053629,0.5880931,-0.10227736,2.2924967,0.19369893,0.6438781
34,0.95183915,1.0434834,0.758731,2.1536767,0.9980093,1.7328577,-0.41942984,-0.82859874,0.044189095,1.8464737,0.48835257,5.6079617,6.580666,1.2568176,1.9759359,1.4476792,1.6633254,1.7287438,1.1303942,1.005259,-0.014245284,-2.1414216,0.0076928833,-0.93949723,1.6233848,2.3738,3.715491,4.4013505,0.41034728,0.69498956,0.35183892,0.6123055,0.55033535,0.094466835,0.14985669,0.11636338,-0.21897446,-0.76432717,3.642453,5.0572515,0.5478184,0.6544796,-0.109468594,2.230417,0.19239926,0.6085781
35,0.9613283,1.0354596,0.7289339,2.221386,0.9675096,1.6935278,-0.39855292,-0.82113373,0.060658455,1.8526893,0.5576617,5.5344605,6.663554,1.2748419,1.8678225,1.4123253,1.6568052,1.6675725,1.1218345,1.0084028,-0.011308696,-2.103103,0.08729219,-0.90464705,1.5917963,2.4404213,3.625727,4.234759,0.411893,0.7082593,0.35020664,0.6004077,0.5894826,0.09260122,0.17024657,0.1045416,-0.21282427,-0.7934966,3.6035156,5.150337,0.62146765,0.6759631,-0.10825174,2.486218,0.19440001,0.63397706
36,0.9489249,1.05454,0.7239223,2.1145778,0.96040386,1.6628687,-0.41705942,-0.8696826,0.02814281,1.7621295,0.5414883,5.6577287,6.722013,1.2311406,1.8786174,1.4111844,1.6847254,1.6660227,1.1178236,0.9669336,-0.009064821,-2.137036,0.107135236,-0.9071599,1.6140682,2.4829159,3.6831105,4.1581283,0.40096584,0.7016897,0.34605038,0.6033049,0.53747517,0.09453468,0.13604844,0.113586046,-0.21568654,-0.79101974,3.5647967,5.219697,0.6041202,0.87095094,-0.12113482,2.2319078,0.19382162,0.6264133
37,0.9467073,1.0672008,0.7468275,2.146552,0.9267468,1.6782452,-0.43430027,-0.86952955,0.03011292,1.8620148,0.5243029,5.5894504,6.694255,1.3048007,1.8723038,1.4039435,1.6407956,1.6691122,1.1118953,1.010584,-0.012350475,-2.1505256,0.045157257,-0.9088515,1.5810121,2.4415047,3.6203485,4.641044,0.4086891,0.7016544,0.35278067,0.5981713,0.5548687,0.09753826,0.13705105,0.13299341,-0.2137403,-0.8077435,3.6528246,5.1013412,0.54076374,0.57021976,-0.10779882,2.1523213,0.19401693,0.6319856
38,0.92204833,1.0494366,0.75529444,2.1432486,0.9384379,1.6543399,-0.43991154,-0.8573259,0.045995355,1.8433707,0.50454634,5.583483,6.6286206,1.3026378,1.9382923,1.415917,1.6437869,1.6636579,1.1221708,0.9939383,-0.012743311,-2.1632311,0.063042566,-0.9243021,1.6564504,2.4812653,3.580168,4.0877047,0.40469468,0.6950961,0.34662437,0.59153795,0.55231714,0.09691585,0.13084917,0.13810535,-0.21787636,-0.805906,3.564138,5.1193357,0.5748607,0.69914067,-0.12419132,2.2873354,0.20205508,0.61732036
39,0.9633737,1.0516604,0.7434467,2.1742945,0.9927034,1.7365721,-0.42032006,-0.8827121,0.013241529,1.9231621,0.60477227,5.488014,6.536861,1.2492887,1.8236424,1.389835,1.6310395,1.6918585,1.1234438,1.007813,-0.011708206,-2.1474495,-0.04056086,-0.9408867,1.533345,2.4185967,3.5999868,3.9902105,0.40385088,0.708007,0.35217845,0.58201444,0.5525578,0.09120278,0.09919741,0.0852733,-0.21100065,-0.7931838,3.608442,5.337776,0.6240218,0.60718393,-0.11270352,2.2914402,0.20108601,0.6334314
40,0.92922455,1.0694624,0.7399609,2.0966916,0.944695,1.6669543,-0.3662054,-0.85880303,0.021089137,1.7539757,0.49884877,5.7869544,6.750022,1.2085593,1.750193,1.41506,1.6696786,1.6732142,1.1332699,1.02325,-0.013604962,-2.1900182,0.012083747,-0.9494684,1.5329995,2.465013,3.5644176,4.2987437,0.4077403,0.69412804,0.3492986,0.57253766,0.5576286,0.09440951,0.14542778,0.101162605,-0.21596077,-0.77904224,3.603735,5.1516776,0.49247468,0.578465,-0.11364336,2.3975694,0.19659217,0.6274551
41,0.9107413,1.0413884,0.7286393,2.1589456,0.998779,1.6992453,-0.43629527,-0.8840119,0.04012227,1.8798021,0.5417619,5.6370277,6.5725927,1.211403,1.8600116,1.4099785,1.6590494,1.7585944,1.1496763,0.9841591,-0.012554165,-2.2442977,-0.11146465,-0.9612875,1.5665721,2.4347928,3.5310235,4.1638784,0.39040238,0.7112935,0.3387186,0.59926504,0.4950948,0.093883716,0.11195201,0.14161938,-0.21464422,-0.7640057,3.5751164,4.969059,0.4987259,0.4314433,-0.08369503,2.1790535,0.18902275,0.62492937
42,0.9520448,1.0655036,0.74998367,2.147927,0.94425887,1.602211,-0.3648976,-0.9083841,0.050661534,1.7472186,0.55862343,5.6723256,6.680721,1.1644953,1.8253615,1.3925288,1.614657,1.6903542,1.1453406,1.0847946,-0.013524614,-2.2100334,-0.05660908,-0.93728745,1.5921916,2.4235895,3.7089784,4.212757,0.40265012,0.70651007,0.3540574,0.62228686,0.5555064,0.094436266,0.12401741,0.09345364,-0.21530393,-0.78891057,3.564125,5.066193,0.4626071,0.55140144,-0.075011015,2.268949,0.19506639,0.64011604
43,0.93442076,1.0396205,0.7415742,2.141202,0.9923718,1.7189577,-0.39308822,-0.85918725,0.041615427,1.9446691,0.506281,5.4323635,6.4457836,1.2610747,1.7516212,1.4590459,1.6065382,1.6935775,1.0884042,1.0245699,-0.014028682,-2.2001512,-0.16157252,-0.9640313,1.5689884,2.4013162,3.6070855,4.304155,0.39499727,0.6712858,0.3300432,0.5966283,0.54633546,0.09458877,0.13581456,0.1390468,-0.21227342,-0.77834225,3.6422613,4.8667774,0.45741868,0.5703265,-0.09614477,2.1400769,0.19480893,0.62005055
44,0.9352865,1.0482986,0.7322835,2.1092095,0.92070115,1.6605588,-0.37504718,-0.9170735,0.03172815,1.8378787,0.58018345,5.556712,6.613875,1.2600471,1.7846189,1.4335505,1.5981252,1.6676213,1.1036183,1.0215611,-0.017926672,-2.2347531,-0.1416846,-0.94927096,1.5121347,2.3506682,3.5185912,4.2069473,0.3991626,0.6754863,0.3366803,0.5650006,0.5245333,0.09289237,0.124948986,0.1471022,-0.22177249,-0.7888709,3.6052837,5.037687,0.46960765,0.577158,-0.11359762,2.2791967,0.19692254,0.64009273
45,0.90153575,1.0364441,0.7008874,2.1524978,0.9920287,1.7364682,-0.39082345,-0.875006,0.025761098,1.8123649,0.51811963,5.3658338,6.5132647,1.254192,1.826034,1.4242493,1.6482767,1.7091997,1.1200681,1.0220268,-0.018107235,-2.248522,-0.17526251,-0.95335126,1.5725691,2.3894455,3.5397947,4.408983,0.4023046,0.6973843,0.3512207,0.58986,0.52657187,0.09002637,0.09553402,0.099989496,-0.2189186,-0.78629714,3.5354886,4.774038,0.48595628,0.5959109,-0.09482492,2.1531942,0.20071954,0.6272624
46,0.93055975,1.0310562,0.7088794,2.193871,0.95907503,1.7366472,-0.42172974,-0.89865625,0.034573555,2.0192957,0.6541179,5.365806,6.362692,1.1915058,1.757007,1.4077623,1.6093941,1.7394985,1.1213413,1.0135527,-0.018576501,-2.2317004,-0.25774652,-0.9522369,1.5036128,2.3956263,3.4882402,4.139674,0.39012623,0.6886057,0.34096003,0.58736783,0.48944315,0.08993393,0.07191268,0.11567706,-0.21732128,-0.78393716,3.5276563,4.9308662,0.5317163,0.7225694,-0.08583523,2.3604023,0.19482477,0.6291307
47,0.93813753,1.0491396,0.72032946,2.15398,0.97698194,1.7008667,-0.38207382,-0.9569247,0.03003043,1.9376258,0.67471594,5.31355,6.5623307,1.1891184,1.7840061,1.4181318,1.6195132,1.7136966,1.1334261,0.96856165,-0.013130768,-2.2021868,-0.25374722,-0.9589208,1.4590569,2.4195833,3.5208588,4.151688,0.39824745,0.6769646,0.3461838,0.57371366,0.51973546,0.08727953,0.09087173,0.10580121,-0.21478118,-0.7777647,3.5061128,5.2998424,0.55334705,0.61198467,-0.1004435,2.3221648,0.19839105,0.60812867
48,0.9126954,1.04297,0.7024148,2.1479006,0.92973614,1.6964628,-0.37539926,-0.9107745,0.03526908,1.9712701,0.6427298,5.4675374,6.515285,1.2386816,1.740332,1.4860597,1.6138494,1.6831319,1.1332357,0.98262537,-0.019352498,-2.282254,-0.2601181,-0.96742284,1.5002728,2.4875293,3.4438267,4.27184,0.39581615,0.6978942,0.3395907,0.6149653,0.50204104,0.08700527,0.08059867,0.12222131,-0.21832559,-0.7785283,3.5328372,4.9969006,0.50770205,0.46562183,-0.08133637,2.3711734,0.1990758,0.6289269
