,modelTS,TotalDirection,TotalSlope,TotalSlopeSig,EarlyDirection,EarlySlope,EarlySlopeSig,LateDirection,LateSlope,LateSlopeSig,TSid,Lat,Lon,Category,CategorySpecific,Interp,bin0ka,bin1ka,bin2ka,bin3ka,bin4ka,bin5ka,bin6ka,bin7ka,bin8ka,bin9ka,bin10ka,bin11ka
0,"[nan, -1.0112423, -1.0800407, -1.1785555, -1.3693072, -1.0657107, -1.11178, -1.3698661, -1.4901348, -1.5473993, -1.3940626, -1.43484, -0.9944574, -1.2284529, -1.5037127, -1.313553, -1.1624016, -1.3660719, -1.126594, -1.3477098, -1.1575278, -1.1549467, -1.4865267, -1.2340573, -1.3507828, -0.9191677, -0.8749878, -1.0696454, -1.1927946, -0.8851767, -0.96894544, -0.9445131, -1.075578, -0.43039057, -0.99359196, -1.0408651, -1.116899, -1.0758109, -0.4817398, -0.69391006, -0.5690971, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,decreasing,-0.1370321140392189,-0.1370321140392189,WEB720c22d6,29.3,87.2,Other,Other (uncalibrated),P,,-0.13225257396697998,0.10428225994110107,0.2928646206855774,0.6927129626274109,,,,,,,
1,"[nan, -1.0112423, -1.0800407, -1.1785555, -1.3693072, -1.0657107, -1.11178, -1.3698661, -1.4901348, -1.5473993, -1.3940626, -1.43484, -0.9944574, -1.2284529, -1.5037127, -1.313553, -1.1624016, -1.3660719, -1.126594, -1.3477098, -1.1575278, -1.1549467, -1.4865267, -1.2340573, -1.3507828, -0.9191677, -0.8749878, -1.0696454, -1.1927946, -0.8851767, -0.96894544, -0.9445131, -1.075578, -0.43039057, -0.99359196, -1.0408651, -1.116899, -1.0758109, -0.4817398, -0.69391006, -0.5690971, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,decreasing,-0.1370321140392189,-0.1370321140392189,WEB820982f9,29.3,87.2,Other,Other (uncalibrated),P,,-0.13225257396697998,0.10428225994110107,0.2928646206855774,0.6927129626274109,,,,,,,
2,"[nan, 1.9062216, 0.83653736, 2.03562, 2.0044377, 1.5339558, 1.8054186, 1.4580501, 2.0973985, 2.0505922, 1.6191903, 1.4840691, 0.7810994, 1.4755191, 1.8801426, 2.587514, 1.8344965, 1.3293167, 1.6983544, 1.6970996, 0.74501157, 0.48857033, 0.41211757, 1.062099, 0.59064317, 0.4375961, 0.75331926, 0.4811786, 1.2187518, 0.18657532, -0.04521967, 0.42083707, 0.45916, 0.9598095, 1.282255, 0.65534765, -0.0020490289, 0.34038603, -0.2147126, 0.586085, 0.8483414, -0.18561327, 0.62876445, 0.63568646, 0.24185888, 0.18772076, 0.3333847, 0.4281001, 0.2577556, 0.46823555, -0.5443869, -0.1725351, -0.49542904, 0.019272456, 0.13315578, -0.07094488, -0.29881877, 0.10181063, -0.89610136, 0.271177, -0.59541905, -0.9537294, -0.49926004, 0.15898395, -0.29963174, -0.95693403, -0.54269236, -0.6686693, 0.11362753, -0.44565603, -0.16950849, 0.097130194, 0.12319002, -0.6641669, -0.44516265, -0.35692948, -0.5127994, -0.7550492, -0.3631007, -0.85870725, -0.38614464, -0.12920144, -0.91045153, 0.12620378, -0.4745773, -0.27773967, -0.30411267, -0.3433279, -0.26039076, -1.2853771, -0.70534486, -0.86779565, -0.27739647, -0.71883917, -1.0642943, -1.2923056, -0.8319996, -1.0496718, -0.50351363, -1.5143837, -1.4110087, -1.0826129, -0.8402129, -1.2393, -1.2082015, -1.0310638, -1.2499737, -0.51159173, -1.0554891, -1.6262077, -1.3295453, -1.184218, -0.3213629, -1.448879, -1.257123, -1.5612308, -0.8605927, nan, nan, nan, nan]",increasing,0.26212393383542804,0.26212393383542804,increasing,0.17947238178173744,0.17947238178173744,increasing,0.38279544672493754,0.38279544672493754,WEBc6ac156d,39.0176,73.5327,Other,Other (uncalibrated),P-E,,-0.11555206775665283,-0.9897308349609375,-1.7799620628356934,-0.8864009976387024,-2.2791292667388916,-2.3301615715026855,-1.9042508602142334,-2.120887041091919,-2.44008731842041,-3.1457509994506836,-3.0642876625061035
3,"[nan, nan, nan, 1.4597164, 1.4911646, 2.1931448, 1.5363781, 1.7903781, 0.0061349734, 0.3443763, 0.77616006, 1.759261, 0.9397138, 0.32729194, 1.7809497, 0.46642026, 1.5760837, -0.3990533, 1.708797, 0.75578547, 1.2993066, 1.1341397, 1.7350425, 0.42666388, 0.88693327, 1.6330899, 1.5825654, 1.6318171, 0.3394505, 0.9440191, 1.685549, 0.10268126, 0.640427, 0.8780554, 1.008344, 0.7930472, 0.70669293, 0.5311112, -0.13693273, 0.26854193, 0.356659, 0.33929777, -0.067478344, -0.08595009, 1.2066073, 0.29550654, -0.41849875, 0.48559207, 0.39673996, 0.023467546, 0.1208157, 0.52503985, 0.18090853, -0.12002974, -0.19661509, -0.39350066, -0.05491247, 0.24542758, 0.20179544, 0.6070983, 0.49966305, -0.31446195, 0.13279608, 0.6255509, 0.65526164, -0.6882849, 0.14353865, 0.72954, 0.01157308, -0.12478371, 0.30520222, -0.5581076, 0.37175778, -0.72728395, -0.5689997, -0.41067412, -0.60974574, -0.35360742, -1.2042972, -0.9159471, 0.15888563, -0.953352, -0.58325845, -0.61232316, -0.9485376, -1.3101796, -0.8131799, -0.8209123, -0.26076183, -1.313578, -1.155071, -0.6764095, -1.7761544, 0.15156376, -0.8092342, -0.8068445, -1.9482169, -1.0849707, -1.5482057, -1.7329487, -2.0004406, -1.0773306, -0.9352716, -2.038224, -0.22765908, -1.1561434, -1.4597609, -1.7470706, -1.4786114, -1.3459871, -0.985532, -0.78122586, -1.0173142, -1.0381534, -0.46263048, -1.4190468, nan, nan, nan, nan, nan]",increasing,0.25937038894399084,0.25937038894399084,increasing,0.2942499775714505,0.2942499775714505,increasing,0.24478545298931595,0.24478545298931595,WEB843e2ae7,-52.9035,-73.8019,Pollen,Pollen (uncalibrated),P,,-0.4235216975212097,0.0996248722076416,0.4858672618865967,-0.8430227637290955,-1.0788660049438477,-0.7000187039375305,-0.894479513168335,-1.040796160697937,-2.354752779006958,-3.200122356414795,-2.185213804244995
4,"[nan, nan, nan, nan, nan, nan, nan, 1.7903781, 0.0061349734, 0.3443763, 0.77616006, 1.759261, 0.9397138, 0.32729194, 1.7809497, 0.46642026, 1.5760837, -0.3990533, 1.708797, 0.75578547, 1.2993066, 1.1341397, 1.7350425, 0.42666388, 0.88693327, 1.6330899, 1.5825654, 1.6318171, 0.3394505, 0.9440191, 1.685549, 0.10268126, 0.640427, 0.8780554, 1.008344, 0.7930472, 0.70669293, 0.5311112, -0.13693273, 0.26854193, 0.356659, 0.33929777, -0.067478344, -0.08595009, 1.2066073, 0.29550654, -0.41849875, 0.48559207, 0.39673996, 0.023467546, 0.1208157, 0.52503985, 0.18090853, -0.12002974, -0.19661509, -0.39350066, -0.05491247, 0.24542758, 0.20179544, 0.6070983, 0.49966305, -0.31446195, 0.13279608, 0.6255509, 0.65526164, -0.6882849, 0.14353865, 0.72954, 0.01157308, -0.12478371, 0.30520222, -0.5581076, 0.37175778, -0.72728395, -0.5689997, -0.41067412, -0.60974574, -0.35360742, -1.2042972, -0.9159471, 0.15888563, -0.953352, -0.58325845, -0.61232316, -0.9485376, -1.3101796, -0.8131799, -0.8209123, -0.26076183, -1.313578, -1.155071, -0.6764095, -1.7761544, 0.15156376, -0.8092342, -0.8068445, -1.9482169, -1.0849707, -1.5482057, -1.7329487, -2.0004406, -1.0773306, -0.9352716, -2.038224, -0.22765908, -1.1561434, -1.4597609, -1.7470706, -1.4786114, -1.3459871, -0.985532, -0.78122586, -1.0173142, -1.0381534, -0.46263048, -1.4190468, -1.0449502, nan, nan, nan, nan]",increasing,0.2518481031947014,0.2518481031947014,increasing,0.28470224506007535,0.28470224506007535,increasing,0.21812277170186042,0.21812277170186042,WEBc7a2aaa7,-52.9035,-73.8019,Other,Other (uncalibrated),P,,0.046897709369659424,0.5700442790985107,0.9562866687774658,-0.3726033568382263,-0.6084466576576233,-0.22959929704666138,-0.4240601360797882,-0.5703767538070679,-1.8843333721160889,-2.729702949523926,-1.714794397354126
5,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.5602032, 0.6287226, 1.4519241, 0.746883, 0.5367946, 1.0489799, 1.1831375, 0.68329287, 0.29202563, 0.6373231, 0.4898108, -0.12351771, 0.5497097, 0.80332613, 0.09325804, 0.53623444, -0.3134033, 0.2961966, -0.55551225, 0.07669192, 0.60519916, 0.22570658, 0.037426736, -0.14041992, -0.91733277, -0.25580826, -0.010243591, -0.063081674, 0.22798164, -0.09383543, -0.18065315, -0.3847149, -0.9953432, -0.16790469, -0.5303227, 0.013334477, -1.1023982, -0.70423394, -1.1313452, -0.18154652, -1.2671776, -0.66128325, -0.8743017, -1.0758959, -1.6428496, -1.1570805, -0.38950348, -0.74952865, -0.42398584, -0.43591562, -1.0783461, -0.58569723, -1.5227014, -0.66358703, -1.2512865, -1.4380697, -1.2503787, -1.3171976, -1.2495371, -1.1788805, -1.3506258, -0.5136761, -1.0744911, -1.1965008, -0.9284956, -0.9307764, -0.8749652, -0.6340541, -0.4424134, -0.9957367, -0.7447975, -1.1912124, -0.6335543, -1.1633886, -1.2933868, -0.5002095, -0.67943215, -0.85917467, -1.1747296, -0.2735837, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",increasing,0.24090218532763236,0.24090218532763236,,,,increasing,0.37965744111789024,0.37965744111789024,WEB1392075b,-3.43,29.62,Pollen,Pollen (calibrated),P,,0.03425973653793335,-0.7179805636405945,-0.3687562942504883,-0.9791777729988098,-1.2557461261749268,-1.1801600456237793,-1.1081390380859375,-1.785675287246704,,,
6,"[-0.37667537, -1.0388259, -0.14463043, -0.86357504, -0.5377723, -0.5693225, -0.70680606, -0.9604954, -0.91782224, -0.90097576, -1.14295, -0.6605992, -1.2166564, -1.2181085, -0.80083644, -0.29353768, -1.3084971, -1.4317328, -1.1843544, -0.42155245, -1.1893966, -0.61091954, -1.4658017, -1.1708161, -1.4541948, -1.2553636, -0.8633025, -1.5474404, -0.9961715, -1.1045296, -1.5274549, -1.1659243, -1.0818702, -1.1183593, -0.7298602, -0.7172805, -1.3794357, -1.6699947, -0.9840617, -0.57366925, -1.2485968, -1.5482862, -1.0905308, -0.35647365, -1.2444943, -1.1636828, -0.88453805, -0.46539098, -0.5919396, -1.0996284, -0.76917344, -0.59690195, -0.62105566, -0.3376065, 0.37621602, -0.6372537, -0.5472364, 0.76909006, -0.19271702, -0.13987957, -0.7596858, -0.4681071, 0.3842751, 0.29889122, 0.27825716, -0.61895514, 0.1898658, 0.6761969, -0.099753365, 0.87044173, 0.1645044, 0.70920384, -0.07607426, 0.9640586, 0.5324822, 0.6315548, 0.63615525, 1.0743668, 0.5384126, 0.929139, 0.46704626, 0.13775672, 0.94645077, 1.1784675, 1.1488205, 1.0747522, 1.1857935, 0.9407037, 0.9694156, 0.92060065, 1.7129087, 1.1199957, 1.3184887, 0.9213525, 0.67031354, 1.411175, 0.75720114, 1.9570775, 0.7980604, 1.2978358, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",decreasing,-0.26288226472966636,-0.26288226472966636,decreasing,-0.37557516975317845,-0.37557516975317845,no trend,-0.06653818730038351,0.0,GHab77d673,39.011,103.34,Pollen,Pollen (uncalibrated),P-E,0.365129292011261,-0.40114539861679077,-0.44759196043014526,-0.7856501936912537,-0.5067921280860901,-0.027368783950805664,-0.017881155014038086,0.9063090682029724,1.2088508605957031,2.4547133445739746,,
7,"[nan, -1.0388259, -0.14463043, -0.86357504, -0.5377723, -0.5693225, -0.70680606, -0.9604954, -0.91782224, -0.90097576, -1.14295, -0.6605992, -1.2166564, -1.2181085, -0.80083644, -0.29353768, -1.3084971, -1.4317328, -1.1843544, -0.42155245, -1.1893966, -0.61091954, -1.4658017, -1.1708161, -1.4541948, -1.2553636, -0.8633025, -1.5474404, -0.9961715, -1.1045296, -1.5274549, -1.1659243, -1.0818702, -1.1183593, -0.7298602, -0.7172805, -1.3794357, -1.6699947, -0.9840617, -0.57366925, -1.2485968, -1.5482862, -1.0905308, -0.35647365, -1.2444943, -1.1636828, -0.88453805, -0.46539098, -0.5919396, -1.0996284, -0.76917344, -0.59690195, -0.62105566, -0.3376065, 0.37621602, -0.6372537, -0.5472364, 0.76909006, -0.19271702, -0.13987957, -0.7596858, -0.4681071, 0.3842751, 0.29889122, 0.27825716, -0.61895514, 0.1898658, 0.6761969, -0.099753365, 0.87044173, 0.1645044, 0.70920384, -0.07607426, 0.9640586, 0.5324822, 0.6315548, 0.63615525, 1.0743668, 0.5384126, 0.929139, 0.46704626, 0.13775672, 0.94645077, 1.1784675, 1.1488205, 1.0747522, 1.1857935, 0.9407037, 0.9694156, 0.92060065, 1.7129087, 1.1199957, 1.3184887, 0.9213525, 0.67031354, 1.411175, 0.75720114, 1.9570775, 0.7980604, 1.2978358, 0.88655984, 1.2149236, 1.0727128, 0.8738392, 2.0319023, 1.2488328, 1.0492498, 1.463942, 1.020284, 0.75775564, 1.7373161, 0.42071247, 1.3906866, 1.0125774, 1.5433062, 1.2442511, nan, nan, nan, nan, nan]",decreasing,-0.26138100288599625,-0.26138100288599625,decreasing,-0.24537132731342834,-0.24537132731342834,no trend,-0.07811102130721762,0.0,GHb76a109a,39.011,103.34,Pollen,Pollen (uncalibrated),P-E,,-0.3646324872970581,-0.4110790491104126,-0.749137282371521,-0.4702792167663574,0.009144127368927002,0.01863175630569458,0.9428219795227051,1.2453638315200806,2.4912261962890625,1.6648774147033691,2.5156335830688477
8,"[-3.017262, -0.8435286, -2.4002962, -2.333304, -1.7471335, -1.9646974, -2.3861246, -1.932387, -1.4970376, -2.3793561, -1.6801412, -0.68464166, -0.9109435, -1.155428, -0.2137421, -0.009407692, -0.133144, -0.27470505, -0.7917332, 0.0841358, 0.44944704, 0.70363945, 0.39243975, 0.20960863, 0.7654106, 0.534204, 0.36551213, 1.8250991, 0.57933736, 1.2338532, 0.9209516, 0.84107167, 0.65836984, 0.6867615, 2.1735785, 0.6293755, 1.2339525, 1.2718003, 1.5933591, 0.62730414, 1.4207069, 0.31263372, 0.7322874, 0.6061172, 0.9813211, 1.235816, 1.2688445, 0.76792765, 0.7267361, 1.3039583, 1.1690962, 1.3474013, 0.27424553, 0.38833168, 0.64777756, 1.189318, 1.3978181, 0.8803512, 1.2164094, 0.6155457, 0.50006247, 1.3790904, 0.49127826, 1.1437527, 0.89473754, 0.9430068, -0.13295235, 1.4964719, 0.7544327, 0.20773356, -0.21077247, -0.19183008, 0.26810998, 0.11523614, 0.3523982, -0.107544184, -0.23249052, 0.7519272, 0.5638034, 0.8794621, 0.565466, -0.53303325, 0.022838015, 0.10133936, -0.25099647, 0.054552604, -0.121046096, 0.16721398, 0.2939915, 0.26461384, -0.91014683, -0.053848296, -0.34606636, 0.006449603, -0.17204253, -0.22491865, -0.9323567, -0.5169935, -0.7728324, -0.29533085, 0.04422354, -0.25214416, -0.87763554, -1.1099206, -0.49075407, -0.5517401, -0.9344535, -0.21127588, -0.6775501, -1.0251013, -0.7171875, -1.1011294, -0.47901177, -1.2684104, -0.46992043, -1.045503, -0.93938136, -0.9774555, -1.3018916, -1.000395, -0.7330587]",increasing,0.012290950239434236,0.012290950239434236,increasing,0.3130982435034565,0.3130982435034565,decreasing,-0.5394208314422261,-0.5394208314422261,PYTVTSXN49E,-28.53,28.87,Pollen,Pollen (calibrated),P,-1.0007829666137695,0.3363378047943115,2.465926170349121,2.9374306201934814,3.437185764312744,3.185575246810913,2.5165414810180664,1.80570650100708,2.5819449424743652,1.1063321828842163,2.0607025623321533,1.2992914915084839
9,"[nan, 1.5558671, 0.5710012, 2.477652, 2.2185717, 1.7955983, 0.75925505, -0.054177165, 2.397987, 1.4436982, 0.63418925, 0.584044, 0.8647434, 1.5251797, 0.8905713, 1.2139343, 1.5151752, 1.3881377, 1.4463531, 0.6040763, 0.4359433, -0.023603149, 0.4802417, -0.26877904, 1.173716, 0.7774057, 0.866091, -0.512258, 1.4226412, -0.26681665, 0.17014822, 0.99418265, 0.26778233, 0.10270312, -0.09916179, 0.13504235, -0.505801, -1.1847576, 0.2635796, -0.6247328, 0.377433, -0.3507403, -0.43909493, 0.3039082, 0.81468356, -0.69672835, -1.1532303, 0.09416108, 0.30274534, -0.87937754, -0.9712285, 0.4395762, -0.09371085, -0.94054425, -0.4922785, -0.8096285, -1.7806536, -0.6771478, -0.9742466, 0.41866982, 0.059503905, -1.3184927, 0.14239205, -0.5897123, -0.6675206, -0.3477936, -0.6583218, -1.0578986, -0.20091009, 0.0154834045, -1.9548042, -1.197788, -1.4002755, -0.98046917, -0.36628583, -0.9679915, -1.2420537, 1.4866334, -0.7458567, -1.07409, -0.600535, -1.2036659, -0.16494258, 0.49207044, 0.27191982, -2.1900625, -0.63548404, -0.19549021, -1.855335, -0.61593765, -1.3619465, -1.5799221, -0.2235957, -0.0967476, -0.15301448, -0.4300499, 0.12034764, -0.84186214, -0.75158244, -0.8336555, 0.6981334, 0.3174649, 0.61958456, -0.2575822, 0.97772735, -0.69938475, 0.28634596, -0.1067754, 0.98024404, -1.2417215, -0.12537163, -1.0129155, -1.3966037, -0.33258966, -0.6990556, -0.64630675, 0.29801634, 0.7216636, 0.9370852, nan, nan]",increasing,0.1356323008431047,0.1356323008431047,decreasing,-0.1260549940978798,-0.1260549940978798,increasing,0.3936167764817718,0.3936167764817718,WEB8d973712,33.7,79.17,Leaf Wax (dD),Leaf Wax (dD),P,,-0.7457751035690308,-0.9440210461616516,-1.2098160982131958,-1.0025312900543213,-2.3511929512023926,-1.3204604387283325,-3.334768533706665,-1.980499267578125,-2.741910934448242,-0.6818309426307678,-1.505336046218872
10,"[-0.9931806, -0.7506893, -0.8488987, -0.9508262, -1.1905133, -0.9796817, -0.8504552, -1.0021921, -1.4074678, -1.2863643, -1.1724812, -1.1464547, -1.2618642, -1.4401705, -1.4160287, -1.193131, -1.2789769, -1.0320207, -1.3464335, -1.1393918, -1.0098691, -1.0480425, -1.2781111, -1.0575964, -1.1820972, -0.9426141, -1.2218386, -1.0771387, -1.3603601, -0.8537601, -1.012333, -1.0887367, -0.93092626, -0.77346045, -0.8162395, -1.3371251, -1.24198, -1.2416083, -0.8036087, -0.9610492, -0.68222165, -0.7223413, -0.63777506, -0.6983226, -1.2206302, -0.80753016, -0.7544081, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,decreasing,-0.053407487069204056,-0.053407487069204056,WEB5699be91,4.499,-73.935,Other,Other (uncalibrated),P,0.04616051912307739,-0.13314008712768555,0.029471993446350098,0.027008056640625,0.35711944103240967,,,,,,,
11,"[-0.9931806, -0.7506893, -0.8488987, -0.9508262, -1.1905133, -0.9796817, -0.8504552, -1.0021921, -1.4074678, -1.2863643, -1.1724812, -1.1464547, -1.2618642, -1.4401705, -1.4160287, -1.193131, -1.2789769, -1.0320207, -1.3464335, -1.1393918, -1.0098691, -1.0480425, -1.2781111, -1.0575964, -1.1820972, -0.9426141, -1.2218386, -1.0771387, -1.3603601, -0.8537601, -1.012333, -1.0887367, -0.93092626, -0.77346045, -0.8162395, -1.3371251, -1.24198, -1.2416083, -0.8036087, -0.9610492, -0.68222165, -0.7223413, -0.63777506, -0.6983226, -1.2206302, -0.80753016, -0.7544081, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,decreasing,-0.053407487069204056,-0.053407487069204056,WEB03637fad,4.499,-73.935,Other,Other (uncalibrated),P,0.04616051912307739,-0.13314008712768555,0.029471993446350098,0.027008056640625,0.35711944103240967,,,,,,,
12,"[-0.9931806, -0.7506893, -0.8488987, -0.9508262, -1.1905133, -0.9796817, -0.8504552, -1.0021921, -1.4074678, -1.2863643, -1.1724812, -1.1464547, -1.2618642, -1.4401705, -1.4160287, -1.193131, -1.2789769, -1.0320207, -1.3464335, -1.1393918, -1.0098691, -1.0480425, -1.2781111, -1.0575964, -1.1820972, -0.9426141, -1.2218386, -1.0771387, -1.3603601, -0.8537601, -1.012333, -1.0887367, -0.93092626, -0.77346045, -0.8162395, -1.3371251, -1.24198, -1.2416083, -0.8036087, -0.9610492, -0.68222165, -0.7223413, -0.63777506, -0.6983226, -1.2206302, -0.80753016, -0.7544081, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,decreasing,-0.053407487069204056,-0.053407487069204056,WEB877b4230,4.499,-73.935,Other,Other (uncalibrated),P-E,0.04616051912307739,-0.13314008712768555,0.029471993446350098,0.027008056640625,0.35711944103240967,,,,,,,
13,"[-0.9931806, -0.7506893, -0.8488987, -0.9508262, -1.1905133, -0.9796817, -0.8504552, -1.0021921, -1.4074678, -1.2863643, -1.1724812, -1.1464547, -1.2618642, -1.4401705, -1.4160287, -1.193131, -1.2789769, -1.0320207, -1.3464335, -1.1393918, -1.0098691, -1.0480425, -1.2781111, -1.0575964, -1.1820972, -0.9426141, -1.2218386, -1.0771387, -1.3603601, -0.8537601, -1.012333, -1.0887367, -0.93092626, -0.77346045, -0.8162395, -1.3371251, -1.24198, -1.2416083, -0.8036087, -0.9610492, -0.68222165, -0.7223413, -0.63777506, -0.6983226, -1.2206302, -0.80753016, -0.7544081, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,decreasing,-0.053407487069204056,-0.053407487069204056,WEBfdaf6c10,4.499,-73.935,Other,Other (uncalibrated),P-E,0.04616051912307739,-0.13314008712768555,0.029471993446350098,0.027008056640625,0.35711944103240967,,,,,,,
14,"[nan, 2.1732547, -0.15840493, 0.70674807, 0.2576951, 1.4723654, 1.2190914, 0.49258173, 0.9284554, -0.03714136, 0.56572366, 1.3373449, 0.034797214, 1.0523696, 0.8253546, 1.0828388, 0.47801945, 0.79049563, 0.505915, 1.547654, 1.0285335, 1.7081794, 1.1906663, 0.27291846, 1.5195885, 1.7635307, 0.91496176, 0.83542114, 0.56856036, 1.5584426, 1.4654148, 0.4272087, 0.7098896, 0.9187162, 1.8472623, 0.33286193, 0.90274197, 0.9503053, 1.3385162, -0.15133238, 1.5666223, -0.30216336, 0.95366824, -0.10043499, 0.4617917, 0.491173, 0.50179785, 0.12870435, 0.469843, 1.1315733, 1.2446668, 0.42832863, 0.2862549, -1.0469737, -0.6945684, 1.673914, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,no trend,0.09529062556734505,0.0,WEBfb1da3c4,-27.6,32.408,Other,Other (uncalibrated),P-E,,-0.1963132619857788,0.26649653911590576,0.7033778429031372,0.804585337638855,0.4826298952102661,,,,,,
15,"[nan, 2.1732547, -0.15840493, 0.70674807, 0.2576951, 1.4723654, 1.2190914, 0.49258173, 0.9284554, -0.03714136, 0.56572366, 1.3373449, 0.034797214, 1.0523696, 0.8253546, 1.0828388, 0.47801945, 0.79049563, 0.505915, 1.547654, 1.0285335, 1.7081794, 1.1906663, 0.27291846, 1.5195885, 1.7635307, 0.91496176, 0.83542114, 0.56856036, 1.5584426, 1.4654148, 0.4272087, 0.7098896, 0.9187162, 1.8472623, 0.33286193, 0.90274197, 0.9503053, 1.3385162, -0.15133238, 1.5666223, -0.30216336, 0.95366824, -0.10043499, 0.4617917, 0.491173, 0.50179785, 0.12870435, 0.469843, 1.1315733, 1.2446668, 0.42832863, 0.2862549, -1.0469737, -0.6945684, 1.673914, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,no trend,0.09529062556734505,0.0,WEB039f5197,-27.6,32.408,Other,Other (uncalibrated),P,,-0.1963132619857788,0.26649653911590576,0.7033778429031372,0.804585337638855,0.4826298952102661,,,,,,
