,modelTS,TotalDirection,TotalSlope,TotalSlopeSig,EarlyDirection,EarlySlope,EarlySlopeSig,LateDirection,LateSlope,LateSlopeSig,TSid,Lat,Lon,Category,CategorySpecific,Interp,bin0ka,bin1ka,bin2ka,bin3ka,bin4ka,bin5ka,bin6ka,bin7ka,bin8ka,bin9ka,bin10ka,bin11ka
0,"[nan, -0.4326794, -0.71461165, -0.53087, -1.1535484, -0.48966542, -0.6006997, -1.1626233, -1.2021705, -1.3396944, -1.2423182, -1.1558496, -0.5383692, -0.9220662, -1.2472975, -1.1351824, -0.84478056, -1.2240002, -0.86972815, -0.9941322, -0.94710505, -1.1343704, -1.595221, -1.3571525, -1.3520889, -0.88030195, -0.8838425, -1.0970163, -1.3114561, -0.8418693, -1.0874323, -0.7721477, -1.2424839, -0.31636786, -1.195399, -1.2763118, -1.4088972, -1.5139312, -0.40823147, -0.7476445, -0.5181296, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,no trend,0.035178649324860846,0.0,WEB720c22d6,29.3,87.2,Other,Other (uncalibrated),P,,-0.355430006980896,-0.06021690368652344,-0.20054411888122559,0.36875855922698975,,,,,,,
1,"[nan, -0.4326794, -0.71461165, -0.53087, -1.1535484, -0.48966542, -0.6006997, -1.1626233, -1.2021705, -1.3396944, -1.2423182, -1.1558496, -0.5383692, -0.9220662, -1.2472975, -1.1351824, -0.84478056, -1.2240002, -0.86972815, -0.9941322, -0.94710505, -1.1343704, -1.595221, -1.3571525, -1.3520889, -0.88030195, -0.8838425, -1.0970163, -1.3114561, -0.8418693, -1.0874323, -0.7721477, -1.2424839, -0.31636786, -1.195399, -1.2763118, -1.4088972, -1.5139312, -0.40823147, -0.7476445, -0.5181296, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,no trend,0.035178649324860846,0.0,WEB820982f9,29.3,87.2,Other,Other (uncalibrated),P,,-0.355430006980896,-0.06021690368652344,-0.20054411888122559,0.36875855922698975,,,,,,,
2,"[nan, 1.9062216, 0.83653736, 2.03562, 2.0044377, 1.5339558, 1.8054186, 1.4580501, 2.0973985, 2.0505922, 1.6191903, 1.4840691, 0.7810994, 1.4755191, 1.8801426, 2.587514, 1.8344965, 1.3293167, 1.6983544, 1.6970996, 0.74501157, 0.48857033, 0.41211757, 1.062099, 0.59064317, 0.4375961, 0.75331926, 0.4811786, 1.2187518, 0.18657532, -0.04521967, 0.42083707, 0.45916, 0.9598095, 1.282255, 0.65534765, -0.0020490289, 0.34038603, -0.2147126, 0.586085, 0.8483414, -0.18561327, 0.62876445, 0.63568646, 0.24185888, 0.18772076, 0.3333847, 0.4281001, 0.2577556, 0.46823555, -0.5443869, -0.1725351, -0.49542904, 0.019272456, 0.13315578, -0.07094488, -0.29881877, 0.10181063, -0.89610136, 0.271177, -0.59541905, -0.9537294, -0.49926004, 0.15898395, -0.29963174, -0.95693403, -0.54269236, -0.6686693, 0.11362753, -0.44565603, -0.16950849, 0.097130194, 0.12319002, -0.6641669, -0.44516265, -0.35692948, -0.5127994, -0.7550492, -0.3631007, -0.85870725, -0.38614464, -0.12920144, -0.91045153, 0.12620378, -0.4745773, -0.27773967, -0.30411267, -0.3433279, -0.26039076, -1.2853771, -0.70534486, -0.86779565, -0.27739647, -0.71883917, -1.0642943, -1.2923056, -0.8319996, -1.0496718, -0.50351363, -1.5143837, -1.4110087, -1.0826129, -0.8402129, -1.2393, -1.2082015, -1.0310638, -1.2499737, -0.51159173, -1.0554891, -1.6262077, -1.3295453, -1.184218, -0.3213629, -1.448879, -1.257123, -1.5612308, -0.8605927, nan, nan, nan, nan]",increasing,0.26212393383542804,0.26212393383542804,increasing,0.17947238178173744,0.17947238178173744,increasing,0.38279544672493754,0.38279544672493754,WEBc6ac156d,39.0176,73.5327,Other,Other (uncalibrated),P-E,,-0.11555206775665283,-0.9897308349609375,-1.7799620628356934,-0.8864009976387024,-2.2791292667388916,-2.3301615715026855,-1.9042508602142334,-2.120887041091919,-2.44008731842041,-3.1457509994506836,-3.0642876625061035
3,"[nan, nan, nan, 1.6860356, 1.6320618, 2.2903385, 1.6734779, 2.0753772, 0.4074813, 0.7220561, 0.76151943, 2.0462005, 1.1426188, 0.48403087, 2.1586406, 0.5332787, 1.705074, -0.35046533, 1.7021025, 0.8057795, 1.3305188, 1.1148076, 1.7374979, 0.32256225, 0.9642413, 1.5162541, 1.6000978, 1.5398203, 0.383434, 0.7691603, 1.7839512, -0.2432323, 0.3251304, 0.6386369, 0.7112953, 0.9430593, 0.29858568, 0.31424227, -0.33416495, -0.06131039, -0.026976287, 0.07086139, -0.29753155, -0.30668637, 1.072486, -0.056824952, -0.9443894, 0.44804832, 0.129639, -0.3013873, -0.3247908, 0.17977117, -0.3025193, -0.50932336, -0.468537, -0.5711502, -0.4719117, 0.23813136, 0.39002067, 0.30222213, 0.3277481, -0.5378561, 0.1226703, 0.581062, 0.32298675, -0.88167816, 0.121785946, 0.8399155, -0.07155473, -0.49905777, 0.38808924, -0.8639628, 0.09304803, -0.9834778, -0.6492916, -0.65019715, -0.55542284, -0.35493663, -1.6010671, -1.1223776, 0.15930371, -1.1223848, -0.6148372, -0.4629762, -0.74629444, -1.2682605, -0.6178864, -0.58617, 0.12158077, -1.2763258, -0.80262417, -0.50376964, -1.7297156, 0.5668416, -0.32483327, -0.27545103, -1.7695539, -0.63009053, -1.0877606, -1.1313274, -2.0508983, -1.0396235, -0.8463465, -1.9980069, -0.1590561, -1.188499, -1.3611104, -1.885963, -1.2789859, -1.4159685, -0.7929741, -0.9167056, -0.8398377, -0.8586496, -0.14094456, -1.1707624, nan, nan, nan, nan, nan]",increasing,0.2456354239244273,0.2456354239244273,increasing,0.21951126067638804,0.21951126067638804,increasing,0.3484102107465072,0.3484102107465072,WEB843e2ae7,-52.9035,-73.8019,Pollen,Pollen (uncalibrated),P,,-0.644524097442627,-0.07552468776702881,0.3779076337814331,-1.4330198764801025,-1.7308343648910522,-1.0782954692840576,-1.0179543495178223,-1.2467398643493652,-2.208667755126953,-3.456941843032837,-2.1990175247192383
4,"[nan, nan, nan, nan, nan, nan, nan, 2.0753772, 0.4074813, 0.7220561, 0.76151943, 2.0462005, 1.1426188, 0.48403087, 2.1586406, 0.5332787, 1.705074, -0.35046533, 1.7021025, 0.8057795, 1.3305188, 1.1148076, 1.7374979, 0.32256225, 0.9642413, 1.5162541, 1.6000978, 1.5398203, 0.383434, 0.7691603, 1.7839512, -0.2432323, 0.3251304, 0.6386369, 0.7112953, 0.9430593, 0.29858568, 0.31424227, -0.33416495, -0.06131039, -0.026976287, 0.07086139, -0.29753155, -0.30668637, 1.072486, -0.056824952, -0.9443894, 0.44804832, 0.129639, -0.3013873, -0.3247908, 0.17977117, -0.3025193, -0.50932336, -0.468537, -0.5711502, -0.4719117, 0.23813136, 0.39002067, 0.30222213, 0.3277481, -0.5378561, 0.1226703, 0.581062, 0.32298675, -0.88167816, 0.121785946, 0.8399155, -0.07155473, -0.49905777, 0.38808924, -0.8639628, 0.09304803, -0.9834778, -0.6492916, -0.65019715, -0.55542284, -0.35493663, -1.6010671, -1.1223776, 0.15930371, -1.1223848, -0.6148372, -0.4629762, -0.74629444, -1.2682605, -0.6178864, -0.58617, 0.12158077, -1.2763258, -0.80262417, -0.50376964, -1.7297156, 0.5668416, -0.32483327, -0.27545103, -1.7695539, -0.63009053, -1.0877606, -1.1313274, -2.0508983, -1.0396235, -0.8463465, -1.9980069, -0.1590561, -1.188499, -1.3611104, -1.885963, -1.2789859, -1.4159685, -0.7929741, -0.9167056, -0.8398377, -0.8586496, -0.14094456, -1.1707624, -0.62235063, nan, nan, nan, nan]",increasing,0.23135319198009283,0.23135319198009283,increasing,0.2071302639122976,0.2071302639122976,increasing,0.325422045422073,0.325422045422073,WEBc7a2aaa7,-52.9035,-73.8019,Other,Other (uncalibrated),P,,-0.23008912801742554,0.3389102816581726,0.7923426032066345,-1.0185848474502563,-1.316399335861206,-0.6638604402542114,-0.6035193204879761,-0.832304835319519,-1.794232726097107,-3.0425069332122803,-1.7845826148986816
5,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.1634679, 1.280992, 1.9042876, 1.2930073, 1.1553072, 1.5785143, 1.731821, 1.2760676, 0.8971099, 1.1591831, 1.0303695, 0.45202246, 1.1190193, 1.2787986, 0.5021319, 1.0094786, 0.08352648, 0.7391854, -0.032949332, 0.4647044, 0.86899364, 0.46804824, 0.5014438, 0.2111413, -0.47914964, -0.0026180984, 0.40470853, 0.160462, 0.46956426, 0.19018576, 0.09207965, -0.14183964, -0.7227188, 0.09005828, -0.26587945, 0.24758501, -0.90717375, -0.48304182, -0.81965834, -0.11538449, -0.9931302, -0.424605, -0.6960056, -0.85028523, -1.3291337, -0.8670314, -0.26120234, -0.6267899, -0.26176682, -0.2950172, -0.75250703, -0.51622236, -1.3847913, -0.58555084, -1.187278, -1.2383175, -1.1654462, -1.2232594, -1.2757881, -1.1195946, -1.2793254, -0.6258599, -1.111165, -1.2584237, -1.0016457, -1.0067368, -0.991883, -0.70752627, -0.53623706, -1.1690266, -0.93152153, -1.3906456, -0.84264594, -1.3251663, -1.4253045, -0.7065855, -0.9972159, -1.1032892, -1.4254874, -0.64081585, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",increasing,0.3481436885765468,0.3481436885765468,,,,increasing,0.47262040930257065,0.47262040930257065,WEB1392075b,-3.43,29.62,Pollen,Pollen (calibrated),P,,0.0587620735168457,-0.7702075242996216,-0.7541817426681519,-1.3640695810317993,-1.6468349695205688,-1.7384523153305054,-1.8480899333953857,-2.612875461578369,,,
6,"[-0.37667537, -1.0388259, -0.14463043, -0.86357504, -0.5377723, -0.5693225, -0.70680606, -0.9604954, -0.91782224, -0.90097576, -1.14295, -0.6605992, -1.2166564, -1.2181085, -0.80083644, -0.29353768, -1.3084971, -1.4317328, -1.1843544, -0.42155245, -1.1893966, -0.61091954, -1.4658017, -1.1708161, -1.4541948, -1.2553636, -0.8633025, -1.5474404, -0.9961715, -1.1045296, -1.5274549, -1.1659243, -1.0818702, -1.1183593, -0.7298602, -0.7172805, -1.3794357, -1.6699947, -0.9840617, -0.57366925, -1.2485968, -1.5482862, -1.0905308, -0.35647365, -1.2444943, -1.1636828, -0.88453805, -0.46539098, -0.5919396, -1.0996284, -0.76917344, -0.59690195, -0.62105566, -0.3376065, 0.37621602, -0.6372537, -0.5472364, 0.76909006, -0.19271702, -0.13987957, -0.7596858, -0.4681071, 0.3842751, 0.29889122, 0.27825716, -0.61895514, 0.1898658, 0.6761969, -0.099753365, 0.87044173, 0.1645044, 0.70920384, -0.07607426, 0.9640586, 0.5324822, 0.6315548, 0.63615525, 1.0743668, 0.5384126, 0.929139, 0.46704626, 0.13775672, 0.94645077, 1.1784675, 1.1488205, 1.0747522, 1.1857935, 0.9407037, 0.9694156, 0.92060065, 1.7129087, 1.1199957, 1.3184887, 0.9213525, 0.67031354, 1.411175, 0.75720114, 1.9570775, 0.7980604, 1.2978358, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",decreasing,-0.26288226472966636,-0.26288226472966636,decreasing,-0.37557516975317845,-0.37557516975317845,no trend,-0.06653818730038351,0.0,GHab77d673,39.011,103.34,Pollen,Pollen (uncalibrated),P-E,0.365129292011261,-0.40114539861679077,-0.44759196043014526,-0.7856501936912537,-0.5067921280860901,-0.027368783950805664,-0.017881155014038086,0.9063090682029724,1.2088508605957031,2.4547133445739746,,
7,"[nan, -1.0388259, -0.14463043, -0.86357504, -0.5377723, -0.5693225, -0.70680606, -0.9604954, -0.91782224, -0.90097576, -1.14295, -0.6605992, -1.2166564, -1.2181085, -0.80083644, -0.29353768, -1.3084971, -1.4317328, -1.1843544, -0.42155245, -1.1893966, -0.61091954, -1.4658017, -1.1708161, -1.4541948, -1.2553636, -0.8633025, -1.5474404, -0.9961715, -1.1045296, -1.5274549, -1.1659243, -1.0818702, -1.1183593, -0.7298602, -0.7172805, -1.3794357, -1.6699947, -0.9840617, -0.57366925, -1.2485968, -1.5482862, -1.0905308, -0.35647365, -1.2444943, -1.1636828, -0.88453805, -0.46539098, -0.5919396, -1.0996284, -0.76917344, -0.59690195, -0.62105566, -0.3376065, 0.37621602, -0.6372537, -0.5472364, 0.76909006, -0.19271702, -0.13987957, -0.7596858, -0.4681071, 0.3842751, 0.29889122, 0.27825716, -0.61895514, 0.1898658, 0.6761969, -0.099753365, 0.87044173, 0.1645044, 0.70920384, -0.07607426, 0.9640586, 0.5324822, 0.6315548, 0.63615525, 1.0743668, 0.5384126, 0.929139, 0.46704626, 0.13775672, 0.94645077, 1.1784675, 1.1488205, 1.0747522, 1.1857935, 0.9407037, 0.9694156, 0.92060065, 1.7129087, 1.1199957, 1.3184887, 0.9213525, 0.67031354, 1.411175, 0.75720114, 1.9570775, 0.7980604, 1.2978358, 0.88655984, 1.2149236, 1.0727128, 0.8738392, 2.0319023, 1.2488328, 1.0492498, 1.463942, 1.020284, 0.75775564, 1.7373161, 0.42071247, 1.3906866, 1.0125774, 1.5433062, 1.2442511, nan, nan, nan, nan, nan]",decreasing,-0.26138100288599625,-0.26138100288599625,decreasing,-0.24537132731342834,-0.24537132731342834,no trend,-0.07811102130721762,0.0,GHb76a109a,39.011,103.34,Pollen,Pollen (uncalibrated),P-E,,-0.3646324872970581,-0.4110790491104126,-0.749137282371521,-0.4702792167663574,0.009144127368927002,0.01863175630569458,0.9428219795227051,1.2453638315200806,2.4912261962890625,1.6648774147033691,2.5156335830688477
8,"[-0.89737505, 2.1303515, -0.42615443, -0.30570698, -0.035432212, 0.50568086, -0.006497539, 0.44208178, 0.7392737, -1.6307966, -0.89055085, 0.35061797, -0.87457037, -1.0875231, 0.653846, 0.6456087, 0.5504653, 0.26211506, -0.6670943, 0.35854492, 0.7794923, 0.97068167, 0.15230623, -0.22245596, 0.77277017, 0.25733685, -0.20761496, 2.485519, 0.25277102, 1.1964579, 0.8771228, 0.6697693, 0.5606547, 0.38657296, 3.067594, 0.09798174, 1.2423859, 1.4818473, 1.686432, 0.0183532, 1.4488328, -0.21191125, 0.54333067, 0.1617238, 0.8102566, 1.1905361, 1.2565898, 0.40322724, 0.46852934, 1.3524969, 1.2667016, 1.3977427, -0.5996195, -0.07969389, 0.5115985, 1.3288591, 1.6592207, 0.68457353, 1.2535268, 0.22980297, -0.16420273, 1.6896052, 0.034011003, 1.2242695, 0.58383924, 1.0173038, -0.9344776, 1.7168695, 0.53067863, -0.3923803, -0.9480036, -0.9837707, -0.17564592, -0.37351662, -0.012537678, -0.658759, -0.8705232, 0.91997147, 0.29916042, 0.9003114, 0.43887588, -1.3559927, -0.3861972, -0.054953415, -0.8260614, -0.45388433, -0.8505201, -0.05926605, 0.26103282, 0.015188151, -2.0332928, -0.57853824, -0.88944, 0.007873825, -0.51849216, -0.6460375, -1.5040517, -1.0880295, -1.3586758, -0.76374465, 0.097953156, -0.43886772, -1.5805845, -1.6816415, -0.766971, -0.8873735, -1.4781759, -0.17326906, -1.037989, -1.7057245, -0.8559517, -1.5881113, -0.441849, -1.9408406, -0.5329983, -1.3472081, -1.1357257, -1.1987572, -1.6339535, -1.0812052, -0.76773465]",increasing,0.14526724519524528,0.14526724519524528,increasing,0.3042941796561356,0.3042941796561356,decreasing,-0.16457125087210045,-0.16457125087210045,PYTVTSXN49E,-28.53,28.87,Pollen,Pollen (calibrated),P,-0.8632727265357971,-0.8564485311508179,0.8135946393013,0.9112251400947571,1.4829350709915161,1.3008038997650146,-0.13010039925575256,-0.9139012694358826,0.47297823429107666,-1.9991904497146606,0.13205549120903015,-0.8218494057655334
9,"[nan, 1.3641105, 0.28296018, 2.4150383, 2.1279187, 1.6402963, 0.47410938, -0.40825772, 1.972457, 0.8882267, 0.27229464, 0.4001842, 0.78867835, 1.247675, 0.55250764, 0.70727116, 0.8113087, 1.0659922, 1.2031221, 0.26586297, -0.09610627, -0.57388395, 0.035742506, -0.42577508, 0.68774676, 0.46643344, 0.45075506, -0.7376001, 1.2461818, -0.90055025, -0.34622625, 0.71848935, -0.3210491, -0.08844, -0.2233527, -0.35849163, -0.7221674, -1.7169913, 0.42676407, -0.9917988, 0.032643035, -0.6073544, -0.5829238, 0.12226594, 0.8854763, -0.69963723, -1.7855093, 0.07654954, 0.09764792, -0.7985456, -1.4102244, 0.84891605, -0.06137214, -1.1998771, -0.41588196, -1.0529835, -1.8492409, -0.7474835, -0.7094883, 0.39453796, 0.15598845, -1.4476281, 0.17946236, -0.48382473, -0.43168312, -0.06080331, -0.4351349, -1.1756697, -0.16105944, 0.32873154, -1.9222513, -1.2484087, -1.6331085, -0.9275987, -0.28858706, -0.8952563, -0.8764558, 1.9466788, -0.647822, -0.92841643, -0.4692905, -1.1316339, -0.095162526, 0.9074538, 0.31059363, -2.1338978, -0.5718058, 0.10824883, -1.5949388, -0.4273038, -1.139953, -1.4460639, 0.17827299, 0.53422105, 0.16409428, -0.08897974, 0.6969094, -0.5947367, -0.53025866, -0.72911614, 0.9745433, 0.5540105, 0.9085074, 0.15737821, 1.4088767, -0.29614344, 0.5956546, -0.15232663, 1.4396322, -0.8376203, 0.2056285, -0.50739884, -1.1733329, 0.026411772, -0.12256652, -0.54144776, 0.78774756, 1.484741, 1.5665457, nan, nan]",increasing,0.057722721445660555,0.057722721445660555,decreasing,-0.19920088403027078,-0.19920088403027078,increasing,0.33782908845010745,0.33782908845010745,WEB8d973712,33.7,79.17,Leaf Wax (dD),Leaf Wax (dD),P,,-0.8306208848953247,-1.199021816253662,-1.4491417407989502,-1.070272445678711,-2.5131399631500244,-0.9469270706176758,-3.0251669883728027,-1.5722060203552246,-2.242868423461914,-0.12837225198745728,-0.8972870111465454
10,"[-0.8902185, -0.6287262, -0.72501767, -0.7948192, -1.1405653, -0.85651535, -0.6817416, -0.92142457, -1.3681234, -1.2095361, -1.1371163, -1.0709432, -1.2006873, -1.4396123, -1.4432278, -1.1707969, -1.2524905, -0.9253116, -1.3852295, -1.0726904, -0.9387845, -0.9928973, -1.3435972, -1.0942702, -1.1787276, -0.9488034, -1.286163, -1.0864638, -1.4732766, -0.8530324, -1.0732447, -1.1157595, -0.94107467, -0.76738536, -0.8121791, -1.4001619, -1.3674397, -1.333798, -0.8067873, -1.01556, -0.66181517, -0.80708635, -0.6108782, -0.717208, -1.3548784, -0.8200711, -0.81336373, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,no trend,-0.013603892773527656,0.0,WEB5699be91,4.499,-73.935,Other,Other (uncalibrated),P,0.05103647708892822,-0.1958613395690918,0.0024704933166503906,-0.1319897174835205,0.2794398069381714,,,,,,,
11,"[-0.8902185, -0.6287262, -0.72501767, -0.7948192, -1.1405653, -0.85651535, -0.6817416, -0.92142457, -1.3681234, -1.2095361, -1.1371163, -1.0709432, -1.2006873, -1.4396123, -1.4432278, -1.1707969, -1.2524905, -0.9253116, -1.3852295, -1.0726904, -0.9387845, -0.9928973, -1.3435972, -1.0942702, -1.1787276, -0.9488034, -1.286163, -1.0864638, -1.4732766, -0.8530324, -1.0732447, -1.1157595, -0.94107467, -0.76738536, -0.8121791, -1.4001619, -1.3674397, -1.333798, -0.8067873, -1.01556, -0.66181517, -0.80708635, -0.6108782, -0.717208, -1.3548784, -0.8200711, -0.81336373, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,no trend,-0.013603892773527656,0.0,WEB03637fad,4.499,-73.935,Other,Other (uncalibrated),P,0.05103647708892822,-0.1958613395690918,0.0024704933166503906,-0.1319897174835205,0.2794398069381714,,,,,,,
12,"[-0.9931806, -0.7506893, -0.8488987, -0.9508262, -1.1905133, -0.9796817, -0.8504552, -1.0021921, -1.4074678, -1.2863643, -1.1724812, -1.1464547, -1.2618642, -1.4401705, -1.4160287, -1.193131, -1.2789769, -1.0320207, -1.3464335, -1.1393918, -1.0098691, -1.0480425, -1.2781111, -1.0575964, -1.1820972, -0.9426141, -1.2218386, -1.0771387, -1.3603601, -0.8537601, -1.012333, -1.0887367, -0.93092626, -0.77346045, -0.8162395, -1.3371251, -1.24198, -1.2416083, -0.8036087, -0.9610492, -0.68222165, -0.7223413, -0.63777506, -0.6983226, -1.2206302, -0.80753016, -0.7544081, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,decreasing,-0.053407487069204056,-0.053407487069204056,WEB877b4230,4.499,-73.935,Other,Other (uncalibrated),P-E,0.04616051912307739,-0.13314008712768555,0.029471993446350098,0.027008056640625,0.35711944103240967,,,,,,,
13,"[-0.9931806, -0.7506893, -0.8488987, -0.9508262, -1.1905133, -0.9796817, -0.8504552, -1.0021921, -1.4074678, -1.2863643, -1.1724812, -1.1464547, -1.2618642, -1.4401705, -1.4160287, -1.193131, -1.2789769, -1.0320207, -1.3464335, -1.1393918, -1.0098691, -1.0480425, -1.2781111, -1.0575964, -1.1820972, -0.9426141, -1.2218386, -1.0771387, -1.3603601, -0.8537601, -1.012333, -1.0887367, -0.93092626, -0.77346045, -0.8162395, -1.3371251, -1.24198, -1.2416083, -0.8036087, -0.9610492, -0.68222165, -0.7223413, -0.63777506, -0.6983226, -1.2206302, -0.80753016, -0.7544081, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,decreasing,-0.053407487069204056,-0.053407487069204056,WEBfdaf6c10,4.499,-73.935,Other,Other (uncalibrated),P-E,0.04616051912307739,-0.13314008712768555,0.029471993446350098,0.027008056640625,0.35711944103240967,,,,,,,
14,"[nan, 2.1732547, -0.15840493, 0.70674807, 0.2576951, 1.4723654, 1.2190914, 0.49258173, 0.9284554, -0.03714136, 0.56572366, 1.3373449, 0.034797214, 1.0523696, 0.8253546, 1.0828388, 0.47801945, 0.79049563, 0.505915, 1.547654, 1.0285335, 1.7081794, 1.1906663, 0.27291846, 1.5195885, 1.7635307, 0.91496176, 0.83542114, 0.56856036, 1.5584426, 1.4654148, 0.4272087, 0.7098896, 0.9187162, 1.8472623, 0.33286193, 0.90274197, 0.9503053, 1.3385162, -0.15133238, 1.5666223, -0.30216336, 0.95366824, -0.10043499, 0.4617917, 0.491173, 0.50179785, 0.12870435, 0.469843, 1.1315733, 1.2446668, 0.42832863, 0.2862549, -1.0469737, -0.6945684, 1.673914, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,no trend,0.09529062556734505,0.0,WEBfb1da3c4,-27.6,32.408,Other,Other (uncalibrated),P-E,,-0.1963132619857788,0.26649653911590576,0.7033778429031372,0.804585337638855,0.4826298952102661,,,,,,
15,"[nan, 2.148038, 0.5265831, 1.3308824, 0.83845705, 1.5189548, 1.138894, 1.3106143, 1.4673992, 0.50454724, 0.9777701, 1.400874, 0.7301098, 1.5771136, 1.1105859, 1.3553807, 1.0282525, 0.88892955, 0.756267, 1.505839, 1.1130656, 1.5338233, 1.415693, 0.5357059, 1.4528744, 1.4979004, 1.0397909, 0.90094507, 0.84672695, 1.3888386, 1.447947, 0.73143744, 0.7917276, 0.92618006, 1.4348314, 0.57083523, 0.84828454, 0.72269535, 1.157654, 0.06239655, 1.0538881, -0.16285208, 0.64231753, 0.036812924, 0.41217124, 0.52152467, 0.20382345, 0.023499453, 0.367081, 0.6991613, 0.79351014, 0.4039063, 0.099456705, -0.6864634, -0.6795137, 1.1475818, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,,increasing,0.2232225918766073,0.2232225918766073,WEB039f5197,-27.6,32.408,Other,Other (uncalibrated),P,,-0.19844388961791992,-0.0631483793258667,0.27173304557800293,-0.12232589721679688,-0.38270384073257446,,,,,,
